slug,name,status,overall_pct,ED_pct,ED2_pct,EA_pct,RD_pct,flags,cds_url,verified_overall,verified_ED,verified_ED2,verified_EA,verified_RD,source_tier,source_link,notes
bates,Bates,EST_suspect,13.3,50.0,35.0,,14.0,round_rates;ED_3.8x_overall,,,,,,,,,
colby,Colby,EST_suspect,8.0,45.0,30.0,,8.0,round_rates;ED_5.6x_overall,,,,,,,,,
jhu,Johns Hopkins,EST_suspect,6.4,26.5,17.5,,4.5,ED_4.1x_overall,,,,,,,,,
middlebury,Middlebury,EST_suspect,10.8,38.0,30.0,,13.0,round_rates;ED_3.5x_overall,,,,,,,,,
northeastern,Northeastern,EST_suspect,5.2,28.0,17.0,12.5,2.5,ED_5.4x_overall,,,,,,,,,
uchicago,University of Chicago,EST_suspect,4.5,18.0,14.0,7.5,3.5,ED_4.0x_overall,,,,,,,,,
alabama,University of Alabama,EST_plausible,80.0,,,,80.0,round_rates,,,,,,,,,
american,American University,EST_plausible,49.0,87.0,80.0,,51.0,round_rates,,,,,,,,,
amherst,Amherst,EST_plausible,9.0,30.0,,,8.0,round_rates,,,,,,,,,
arizona,University of Arizona,EST_plausible,86.0,,,,87.0,round_rates,,,,,,,,,
asu,Arizona State,EST_plausible,89.9,,,,88.0,round_rates,,,,,,,,,
auburn,Auburn,EST_plausible,45.9,,,46.0,42.0,round_rates,,,,,,,,,
babson,Babson,EST_plausible,17.1,43.0,35.0,,18.0,round_rates,,,,,,,,,
barnard,Barnard,EST_plausible,8.8,23.0,,,8.0,round_rates,,,,,,,,,
bc,Boston College,EST_plausible,16.2,33.0,,18.0,14.0,round_rates,,,,,,,,,
bentley,Bentley,EST_plausible,45.1,70.0,56.0,,49.0,round_rates,,,,,,,,,
berklee,Berklee College of Music,EST_plausible,53.0,,,56.0,52.0,round_rates,,,,,,,,,
binghamton,Binghamton University,EST_plausible,38.6,50.0,,,42.0,round_rates,,,,,,,,,
bowdoin,Bowdoin,EST_plausible,7.1,23.0,18.0,,8.0,round_rates,,,,,,,,,
brandeis,Brandeis,EST_plausible,40.5,50.0,38.0,,35.0,round_rates,,,,,,,,,
bryn-mawr,Bryn Mawr,EST_plausible,30.0,62.0,48.0,,33.0,round_rates,,,,,,,,,
bu,Boston University,EST_plausible,11.1,29.0,14.0,,8.0,round_rates,,,,,,,,,
bucknell,Bucknell,EST_plausible,33.0,62.0,43.0,,29.0,round_rates,,,,,,,,,
calpoly-slo,Cal Poly San Luis Obispo,EST_plausible,30.0,,,,30.0,round_rates,,,,,,,,,
caltech,Caltech,EST_plausible,2.6,,,5.0,2.0,round_rates,,,,,,,,,
carleton,Carleton,EST_plausible,20.4,38.0,26.0,,19.0,round_rates,,,,,,,,,
case,Case Western,EST_plausible,27.0,35.0,29.0,29.0,22.0,round_rates,,,,,,,,,
clemson,Clemson,EST_plausible,38.3,,,45.0,43.0,round_rates,,,,,,,,,
cmc,Claremont McKenna,EST_plausible,9.6,26.0,19.0,,8.0,round_rates,,,,,,,,,
cmu,Carnegie Mellon,EST_plausible,11.7,20.0,,,10.0,round_rates,,,,,,,,,
colgate,Colgate,EST_plausible,11.0,30.0,,,11.0,round_rates,,,,,,,,,
conn-college,Connecticut College,EST_plausible,37.0,62.0,48.0,,33.0,round_rates,,,,,,,,,
cooper,Cooper Union,EST_plausible,11.0,18.0,,,11.0,round_rates,,,,,,,,,
csulb,Cal State Long Beach,EST_plausible,42.0,,,,42.0,round_rates,,,,,,,,,
cu-boulder,University of Colorado Boulder,EST_plausible,81.0,,,81.0,77.0,round_rates,,,,,,,,,
davidson,Davidson,EST_plausible,12.6,43.0,28.0,,13.0,round_rates,,,,,,,,,
drexel,Drexel,EST_plausible,79.3,88.0,,,77.0,round_rates,,,,,,,,,
emory,Emory,EST_plausible,10.3,28.0,20.0,,9.0,round_rates,,,,,,,,,
famu,Florida A&M,EST_plausible,35.0,,,38.0,35.0,round_rates,,,,,,,,,
fordham,Fordham,EST_plausible,53.0,,,58.0,53.0,round_rates,,,,,,,,,
fsu,Florida State,EST_plausible,23.8,,,26.0,25.0,round_rates,,,,,,,,,
gatech,Georgia Tech,EST_plausible,16.0,,,22.0,14.0,round_rates,,,,,,,,,
georgetown,Georgetown,EST_plausible,12.9,,,12.0,11.0,round_rates,,,,,,,,,
gmu,George Mason,EST_plausible,87.5,,,91.0,89.0,round_rates,,,,,,,,,
grinnell,Grinnell,EST_plausible,14.5,46.0,30.0,,9.0,round_rates,,,,,,,,,
gwu,GWU,EST_plausible,47.1,69.0,61.0,,48.0,round_rates,,,,,,,,,
hamilton,Hamilton,EST_plausible,13.6,42.0,31.0,,11.0,round_rates,,,,,,,,,
harvey-mudd,Harvey Mudd,EST_plausible,12.7,19.0,14.0,,8.0,round_rates,,,,,,,,,
haverford,Haverford,EST_plausible,12.4,37.0,,,15.0,round_rates,,,,,,,,,
hawaii,University of Hawaii Manoa,EST_plausible,58.0,,,,58.0,round_rates,,,,,,,,,
howard,Howard University,EST_plausible,41.3,56.0,,,30.0,round_rates,,,,,,,,,
iowa-state,Iowa State,EST_plausible,88.7,,,,90.0,round_rates,,,,,,,,,
iu,Indiana University,EST_plausible,75.9,,,82.0,77.0,round_rates,,,,,,,,,
juilliard,Juilliard,EST_plausible,8.0,,,,8.0,round_rates,,,,,,,,,
kenyon,Kenyon,EST_plausible,31.0,48.0,38.0,,26.0,round_rates,,,,,,,,,
ku,University of Kansas,EST_plausible,93.5,,,,88.0,round_rates,,,,,,,,,
lehigh,Lehigh,EST_plausible,31.0,47.0,34.0,,29.0,round_rates,,,,,,,,,
lmu,Loyola Marymount,EST_plausible,45.1,,,46.0,43.0,round_rates,,,,,,,,,
lsu,LSU,EST_plausible,73.3,,,,76.0,round_rates,,,,,,,,,
macalester,Macalester,EST_plausible,14.8,45.0,33.0,,25.0,round_rates,,,,,,,,,
miami,University of Miami,EST_plausible,18.9,43.0,30.0,20.0,19.0,round_rates,,,,,,,,,
missou,University of Missouri,EST_plausible,81.0,,,,84.0,round_rates,,,,,,,,,
morehouse,Morehouse,EST_plausible,58.0,65.0,,60.0,55.0,round_rates,,,,,,,,,
msu,Michigan State,EST_plausible,84.8,,,,83.0,round_rates,,,,,,,,,
mt-holyoke,Mount Holyoke,EST_plausible,36.0,62.0,45.0,,38.0,round_rates,,,,,,,,,
neiu,Northeastern Illinois,EST_plausible,88.0,,,,87.0,round_rates,,,,,,,,,
northwestern,Northwestern,EST_plausible,7.7,24.0,,,6.0,round_rates,,,,,,,,,
notre-dame,Notre Dame,EST_plausible,11.3,,,,7.0,round_rates,,,,,,,,,
