School,Accept%,SAT mid,Elite (4.0/1570 + national award),"Strong (3.95/1530, good ECs)","Solid (3.9/1480, decent ECs)",Average-strong (3.8/1420),Below-median (3.6/1350),NOTES (what's wrong / correct range)
Stanford,3.6,1540,4-8%,2-6%,1-4%,1-4%,1-3%,
Caltech,3.8,1555,4-8%,2-6%,1-4%,1-4%,1-3%,
Columbia,3.9,1530,5-9%,3-7%,1-5%,1-4%,1-3%,
Yale,3.9,1520,5-9%,3-7%,1-5%,1-4%,1-3%,
Vanderbilt,4.1,1535,6-10%,3-7%,1-4%,1-4%,1-3%,
Harvard,4.2,1530,6-11%,3-7%,1-4%,1-4%,1-3%,
University of Chicago,4.5,1535,9-14%,3-7%,1-5%,1-4%,1-3%,
MIT,4.5,1555,7-12%,3-7%,1-5%,1-4%,1-4%,
Princeton,4.6,1530,8-13%,3-7%,1-5%,1-4%,1-3%,
Duke,4.7,1535,8-13%,3-7%,1-5%,1-4%,1-4%,
UPenn,4.9,1530,11-16%,4-8%,1-5%,1-4%,1-4%,
Johns Hopkins,5.1,1545,11-16%,4-8%,1-5%,1-5%,1-4%,
Northeastern,5.2,1485,13-19%,10-15%,4-8%,1-5%,1-4%,
Brown,5.4,1535,10-15%,4-8%,1-5%,1-5%,1-4%,
Dartmouth,5.4,1520,10-15%,5-9%,2-6%,1-5%,1-4%,
Amherst,6.8,1525,13-18%,6-10%,3-7%,1-5%,1-4%,
Bowdoin,6.8,1505,14-20%,7-12%,4-8%,1-5%,1-4%,
Pomona,6.9,1525,14-19%,6-10%,2-6%,1-5%,1-4%,
Northwestern,7.0,1535,14-20%,6-10%,2-6%,1-5%,1-4%,
Williams,7.4,1530,14-19%,6-10%,3-7%,1-5%,1-4%,
Swarthmore,7.5,1525,15-21%,7-11%,2-6%,1-5%,1-4%,
NYU,7.7,1515,18-26%,15-20%,6-10%,3-7%,1-5%,
Rice,8.0,1535,18-26%,7-12%,3-7%,2-6%,1-5%,
Colby,8.0,1500,17-24%,11-16%,5-9%,2-6%,1-5%,
Juilliard,8.0,1250,18-26%,18-26%,17-24%,10-15%,7-11%,
Cornell,8.8,1535,18-25%,8-13%,3-7%,2-6%,1-5%,
Notre Dame,9.0,1505,18-26%,13-18%,6-10%,2-6%,1-5%,
UCLA,9.4,1400,19-27%,14-20%,9-14%,6-11%,3-7%,
Claremont McKenna,9.6,1520,18-26%,10-15%,5-9%,2-6%,1-5%,
USC,9.8,1500,30-37%,14-20%,8-13%,4-8%,2-6%,
Tufts,10.0,1510,31-39%,14-19%,6-10%,3-7%,1-5%,
Barnard,10.1,1505,21-29%,11-16%,6-11%,3-7%,1-5%,
UC Berkeley,11.0,1435,22-31%,16-23%,11-16%,7-12%,3-7%,
Cooper Union,11.0,1420,25-35%,20-28%,12-17%,8-13%,4-8%,
Carnegie Mellon,11.1,1535,25-35%,12-17%,5-9%,4-8%,2-6%,
Boston University,11.1,1465,32-40%,32-40%,13-18%,6-11%,3-7%,
Wash U St. Louis,12.0,1535,31-39%,11-16%,6-10%,4-8%,2-6%,
Emory,12.3,1505,32-40%,22-30%,9-14%,5-9%,2-6%,
United States Military Academy,12.4,1310,32-40%,32-40%,28-34%,19-26%,11-16%,
UVA,12.5,1465,28-35%,19-26%,11-16%,6-11%,2-6%,
Davidson,12.6,1425,30-37%,23-32%,13-19%,8-13%,4-8%,
