rank,school,sc_entry_6yr,sc_10yr,entry_blend,oi_earnings,georgetown_npv10,collegefactual_early,payscale_early,payscale_mid,n_sources
1,MIT,131633,143372,115816,98500,579000,100000,,,4
2,Harvey Mudd,115107,138687,101054,82400,476000,87000,,,4
3,Olin College,105483,129455,105483,,483000,,,,2
4,Caltech,132140,128566,100570,83000,627000,69000,,,4
5,Stanford,102887,124080,97944,84800,509000,93000,,,4
6,Babson,91354,123938,84177,95300,353000,77000,,,4
7,Bentley,86679,120959,76840,79800,312000,67000,,,4
8,Carnegie Mellon,105360,114862,94680,78400,363000,84000,,,4
9,UPenn,90555,111371,90778,91800,375000,91000,,,4
10,Princeton,87815,110066,80908,90700,477000,74000,,,4
11,Santa Clara,91198,109183,77599,72500,268000,64000,,,4
12,Stevens Institute,90326,108772,79163,92100,304000,68000,,,4
13,Lehigh,88810,105584,77905,81200,325000,67000,,,4
14,Claremont McKenna,87603,104736,77802,69900,389000,68000,,,4
15,Boston College,85717,103937,75358,71800,258000,65000,,,4
16,Georgetown,83222,103494,82111,84400,275000,81000,,,4
17,WPI,85038,103470,75519,85200,258000,66000,,,4
18,Georgia Tech,89432,102772,77716,78900,407000,66000,,,4
19,Columbia,88535,102491,83268,75300,364000,78000,,,4
20,RPI,83054,102051,75027,84100,297000,67000,,,4
21,Harvard,99572,101817,95286,81500,392000,91000,,,4
22,Rose-Hulman,85935,101253,85935,83600,276000,,,,3
23,Yale,81765,100533,74882,76000,364000,68000,,,4
24,Villanova,84905,100423,74952,78300,245000,65000,,,4
25,Notre Dame,86210,99980,78105,78800,317000,70000,,,4
26,Duke,85792,97800,89396,87500,308000,93000,,,4
27,Dartmouth,82541,97434,78770,76600,295000,75000,,,4
28,Colorado Mines,82950,97335,78975,81500,314000,75000,,,4
29,Washington and Lee,76516,94810,76516,78200,273000,,,,3
30,Bucknell,78852,93807,70426,71800,217000,62000,,,4
31,Brown,79131,93487,72066,66900,282000,65000,,,4
32,Northeastern,78413,92538,68206,61800,275000,58000,,,4
33,USC,74461,92498,67730,63700,272000,61000,,,4
34,UC Berkeley,74919,92446,66460,67900,331000,58000,,,4
35,University of Chicago,80870,91885,76435,61700,320000,72000,,,4
36,Vanderbilt,73909,91565,67954,72800,312000,62000,,,4
37,Lafayette,80614,91410,69307,75300,232000,58000,,,4
38,GWU,71607,90873,71607,63900,224000,,,,3
39,Trinity College,67628,90779,67628,67300,220000,,,,3
40,Cal Poly San Luis Obispo,72358,90768,63679,65500,318000,55000,,,4
41,United States Military Academy,96770,90610,96770,,,,,,1
42,Holy Cross,69984,90543,69984,,207000,,,,2
43,Bryant,66488,90008,66488,73300,203000,,,,3
44,University of San Francisco,69951,89812,69951,56900,203000,,,,3
45,Rice,79751,89718,73876,76700,334000,68000,,,4
46,Clarkson University,76970,89696,76970,73300,248000,,,,3
47,Northwestern,76844,89363,74422,72600,289000,72000,,,4
48,Milwaukee School of Engineering,75114,89070,75114,72700,299000,,,,3
49,Fairfield,73693,88794,73693,69900,181000,,,,3
50,Williams,71754,88665,61377,62600,251000,51000,,,4
51,University of Maryland,82754,88174,66377,,292000,50000,,,3
52,Case Western,75613,87989,72806,73400,208000,70000,,,4
53,Johns Hopkins,86306,87555,77153,75000,347000,68000,,,4
54,Providence,69326,87054,69326,66300,166000,,,,3
55,Saint Joseph's,66438,86881,66438,,213000,,,,2
56,UVA,72359,86863,64680,71200,280000,57000,,,4
57,University of San Diego,64995,86522,64995,61200,229000,,,,3
58,Manhattan College,64472,86316,64472,,244000,,,,2
59,Wash U St. Louis,78073,86182,70536,67500,309000,63000,,,4
60,Fordham,68008,85569,61004,63300,170000,54000,,,4
61,Colgate,64949,85139,59474,71500,252000,54000,,,4
62,UC San Diego,65669,84943,56834,65300,303000,48000,,,4
63,Wellesley,65961,84803,57480,56300,247000,49000,,,4
64,Drexel,69063,84648,61532,65500,208000,54000,,,4
65,NJIT,69591,84276,62296,71600,298000,55000,,,4
66,Embry-Riddle,65391,84131,65391,65600,185000,,,,3
67,Cooper Union,39707,83847,39707,,227000,,,,2
68,Quinnipiac,65744,83759,65744,60000,178000,,,,3
69,Boston University,65655,83238,59328,62000,229000,53000,,,4
70,Tufts,68337,83214,62668,73100,177000,57000,,,4
71,Pepperdine,64934,82939,64934,55800,148000,,,,3
72,University of Portland,67913,82804,67913,56100,211000,,,,3
73,Bowdoin,61692,82735,59346,61000,268000,57000,,,4
74,Loyola Maryland,64453,82652,64453,69800,213000,,,,3
75,Illinois Tech,70803,82592,70803,72300,267000,,,,3
76,UCLA,59063,82511,55532,65800,277000,52000,,,4
77,NYU,64543,82509,60272,58100,206000,56000,,,4
78,Virginia Tech,67377,81698,58688,62300,274000,50000,,,4
79,Davidson,62866,81400,55933,60300,256000,49000,,,4
80,Ohio University,62686,80928,62686,42000,149000,,,,3
81,UC Davis,58461,80838,51730,61600,272000,45000,,,4
82,UC Irvine,56210,80735,50105,60400,280000,44000,,,4
83,Barnard,60411,80516,56706,56300,227000,53000,,,4
84,Colby,60052,80490,55026,59200,261000,50000,,,4
85,Swarthmore,56211,80257,50606,56700,229000,45000,,,4
86,Emory,74980,80137,70490,67800,266000,66000,,,4
87,Haverford,53353,79966,48676,57200,228000,44000,,,4
88,Syracuse,60459,79164,60459,61100,163000,,,,3
89,University of Rochester,68333,79042,58666,62000,211000,49000,,,4
90,San Jose State,62448,78988,62448,56500,282000,,,,3
91,Gonzaga,66525,78892,66525,54900,193000,,,,3
92,Saint Mary's College of California,60388,78812,60388,55200,201000,,,,3
93,Linfield University,70643,78638,70643,50100,215000,,,,3
94,Hamilton,60082,78411,57541,60300,229000,55000,,,4
95,SMU,65556,78354,66778,55400,161000,68000,,,4
96,Loyola Marymount,62763,78349,62763,56200,115000,,,,3
97,Marquette,65241,78257,65241,60100,212000,,,,3
98,Michigan Tech,69672,78198,69672,65900,293000,,,,3
99,Wake Forest,67722,78158,65361,71500,196000,63000,,,4
100,Marist,62546,77819,62546,59500,154000,,,,3
101,Pomona,60850,77779,55925,62000,238000,51000,,,4
102,Amherst,62537,77644,62268,69300,251000,62000,,,4
103,Scripps,68027,77539,68027,46400,184000,,,,3
104,American University,61328,77370,61328,59100,125000,,,,3
105,Butler,61627,77235,61627,57300,161000,,,,3
106,Brandeis,52967,77231,49984,63100,154000,47000,,,4
107,RIT,65457,76571,58228,62400,207000,51000,,,4
108,George Mason,60536,76343,60536,56500,253000,,,,3
109,Middlebury,57291,76310,52646,61800,214000,48000,,,4
110,University of Richmond,67927,76178,67927,69600,215000,,,,3
111,Franklin and Marshall College,62544,76124,62544,,159000,,,,2
112,CUNY Baruch College,61542,75971,61542,57600,329000,,,,3
113,Occidental,52209,75951,52209,49000,127000,,,,3
114,BYU,58450,75790,58450,32600,262000,,,,3
115,University of Dayton,62477,75537,62477,57300,197000,,,,3
116,Carleton,53989,75525,48494,51700,170000,43000,,,4
117,Adelphi,63688,75482,63688,50700,217000,,,,3
118,University of Miami,61508,75328,61508,54800,168000,,,,3
119,Seattle U,64656,75272,64656,55400,181000,,,,3
120,Bryn Mawr,53102,75217,53102,47400,98000,,,,3
121,University of Texas at Austin,60896,75121,56448,57900,244000,52000,,,4
122,Connecticut College,49165,75001,49165,55500,159000,,,,3
123,UC Santa Barbara,56852,74915,49926,58800,255000,43000,,,4
124,Duquesne University,62627,74742,62627,56300,166000,,,,3
125,Elon,58082,74545,58082,47300,133000,,,,3
126,Stony Brook,59492,74502,59492,60100,250000,,,,3
127,Rutgers,61263,74479,61263,58400,224000,,,,3
128,University of Connecticut,63322,73997,63322,56700,223000,,,,3
129,Creighton,63090,73911,63090,57200,175000,,,,3
130,William & Mary,62959,73490,54980,,,47000,,,2
131,College of New Jersey,62649,73323,62649,60100,219000,,,,3
132,Catholic University,63217,73250,63217,,172000,,,,2
133,University of Delaware,58846,72950,58846,57700,248000,,,,3
134,Purdue,60838,72424,54919,48800,263000,49000,,,4
135,UNC Chapel Hill,57057,72200,53528,,260000,50000,,,3
136,Texas A&M,59386,72097,56693,59400,227000,54000,,,4
137,Cal Poly Pomona,54466,71902,54466,55100,260000,,,,3
138,Drake,58233,71901,58233,57200,176000,,,,3
139,Kenyon,46627,71830,46627,48000,77000,,,,3
140,Trinity University,55224,71668,55224,58100,201000,,,,3
141,UMass Amherst,60347,71631,60347,,220000,,,,2
142,University of Florida,56398,71588,52199,56700,292000,48000,,,4
143,Loyola Chicago,58411,71530,58411,53500,143000,,,,3
144,Gettysburg,57274,71517,57274,58800,185000,,,,3
145,Clemson,58311,71513,58311,52300,210000,,,,3
146,Vassar,49177,71366,44088,46000,110000,39000,,,4
147,Yeshiva,60252,71353,60252,46400,118000,,,,3
148,University of Denver,57118,71155,57118,51200,141000,,,,3
149,SUNY Buffalo,53742,70814,53742,52700,215000,,,,3
150,Saint Louis University,60716,70783,60716,57100,194000,,,,3
151,DePauw,58476,70527,58476,52900,188000,,,,3
152,Pace,52767,70378,52767,60700,152000,,,,3
153,Dickinson,57110,70204,57110,55100,169000,,,,3
154,Chapman,58080,70070,58080,47900,97000,,,,3
155,UMBC,55137,69960,55137,,216000,,,,2
156,James Madison,57438,69954,57438,55900,206000,,,,3
157,University of Rhode Island,57446,69743,57446,53400,222000,,,,3
158,University of Colorado Boulder,54939,69738,54939,,207000,,,,2
159,University of Puget Sound,46802,69594,46802,51400,95000,,,,3
160,St. John's,54189,69571,54189,,173000,,,,2
161,Pitzer,51784,69512,51784,43500,89000,,,,3
